SymbolName,Kind,File,Line,OneLineRole
AGameplayAbilityTargetActor_GroundTrace,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetActor_GroundTrace.h,17,Ground trace target actor
AGameplayAbilityTargetActor_Radius,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetActor_Radius.h,16,Selects everything within a given radius of the source actor
AGameplayAbilityTargetActor_SingleLineTrace,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetActor_SingleLineTrace.h,13,Single line trace target actor
AGameplayAbilityTargetActor_Trace,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetActor_Trace.h,21,Intermediate base class for all line-trace type targeting actors
ETargetDataFilterSelf,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetDataFilter.h,14,Set whether it is possible to target self
FGameplayTargetDataFilter,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetDataFilter.h,26,Simple actor target filter that games can subclass
FGameplayTargetDataFilterHandle,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetDataFilter.h,84,Polymorphic handle to a filter structure that checks if actors should be targeted
EGameplayTargetingConfirmation,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetTypes.h,25,Describes how the targeting information is confirmed
FGameplayAbilityTargetData,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetTypes.h,79,Generic structure for targeting data produced and consumed by generic functions
EGameplayAbilityTargetingLocationType,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetTypes.h,171,What type of location calculation to use when an ability asks for our transform
FGameplayAbilityTargetDataHandle,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetTypes.h,201,Handle for targeting data enabling polymorphism and replication by value
FGameplayAbilityTargetingLocationInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetTypes.h,315,Structure that stores a location in one of several different formats
FGameplayAbilityTargetData_LocationInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetTypes.h,389,Target data with just a source and target location in space
FGameplayAbilityTargetData_ActorArray,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetTypes.h,456,Target data with a source location and a list of targeted actors for AOE attacks
FGameplayAbilityTargetData_SingleTargetHit,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetTypes.h,559,Target data with a single hit result packed into the hit result
EAbilityGenericReplicatedEvent,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTargetTypes.h,661,Generic nonpayload carrying events replicated between client and server
EGameplayAbilityTriggerSource,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTriggerType.h,8,Defines what type of trigger will activate the ability paired to a tag
FAbilityTriggerData,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTriggerType.h,26,Structure that defines how an ability will be triggered by external events
EGameplayAbilityInstancingPolicy,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTypes.h,36,How the ability is instanced when executed
EGameplayAbilityNetExecutionPolicy,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTypes.h,58,Where does an ability execute on the network
EGameplayAbilityNetSecurityPolicy,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTypes.h,78,What protections does this ability have against client requests
EGameplayAbilityReplicationPolicy,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTypes.h,98,How an ability replicates state and events to everyone on the network
FGameplayAbilityActorInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTypes.h,122,Cached data associated with an Actor using an Ability
FGameplayAbilityLocalAnimMontage,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTypes.h,186,Data about montages played locally and never replicated directly
FGameplayEventData,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTypes.h,215,Metadata for a tag-based Gameplay Event that can activate other abilities
FAbilityEndedData,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTypes.h,278,Ability Ended Data
FAttributeDefaults,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTypes.h,359,Used to initialize default values for attributes
FAbilityTaskDebugMessage,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTypes.h,377,Debug message emitted by ability tasks
FServerAbilityRPCBatch,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTypes.h,401,Holds state to batch server RPC calls (ServerTryActivateAbility / ServerSetReplicatedTargetData / ServerEndAbility)
FGameplayAbilitySpecHandleAndPredictionKey,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityTypes.h,453,Used as a key for storing internal ability data
FWorldReticleParameters,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityWorldReticle.h,14,Reticle parameters
AGameplayAbilityWorldReticle,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityWorldReticle.h,30,Reticles allow targeting to be visualized; tasks can spawn these
AGameplayAbilityWorldReticle_ActorVisualization,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/GameplayAbilityWorldReticle_ActorVisualization.h,16,Dummy reticle for internal use by visualization placement tasks
EAbilityTaskWaitState,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask.h,76,Differentiates latent tasks waiting on the user vs waiting on the game
UAbilityTask,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask.h,89,Base ability task
UAbilityTask_ApplyRootMotionConstantForce,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_ApplyRootMotionConstantForce.h,23,Applies force to character movement
UAbilityTask_ApplyRootMotionJumpForce,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_ApplyRootMotionJumpForce.h,24,Applies force to character movement
ERootMotionMoveToActorTargetOffsetType,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_ApplyRootMotionMoveToActorForce.h,24,MoveToActor offset type
UAbilityTask_ApplyRootMotionMoveToActorForce,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_ApplyRootMotionMoveToActorForce.h,38,Applies force to character movement
UAbilityTask_ApplyRootMotionMoveToForce,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_ApplyRootMotionMoveToForce.h,24,Applies force to character movement
UAbilityTask_ApplyRootMotionRadialForce,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_ApplyRootMotionRadialForce.h,24,Applies force to character movement
UAbilityTask_ApplyRootMotion_Base,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_ApplyRootMotion_Base.h,17,Base class for ability tasks that apply root motion
UAbilityTask_MoveToLocation,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_MoveToLocation.h,32,Move to a location ignoring clipping over a given length of time
EAbilityTaskNetSyncType,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_NetworkSyncPoint.h,13,Network sync point type
UAbilityTask_NetworkSyncPoint,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_NetworkSyncPoint.h,27,Generic sync point for client and server
UAbilityTask_PlayAnimAndWait,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_PlayAnimAndWait.h,16,Play anim and wait
UAbilityTask_PlayMontageAndWait,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_PlayMontageAndWait.h,15,Ability task to simply play a montage
UAbilityTask_Repeat,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_Repeat.h,17,Repeat a task a certain number of times at a given interval
UAbilityTask_SpawnActor,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_SpawnActor.h,28,Convenience task for spawning actors on the network authority
UAbilityTask_StartAbilityState,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_StartAbilityState.h,28,Ability states for state-specific cleanup when the ability ends or is interrupted
UAbilityTask_VisualizeTargeting,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_VisualizeTargeting.h,16,Visualize targeting
UAbilityTask_WaitAbilityActivate,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitAbilityActivate.h,20,Waits for the actor to activate another ability
UAbilityTask_WaitAbilityCommit,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitAbilityCommit.h,17,Waits for another ability to commit
EWaitAttributeChangeComparison,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitAttributeChange.h,15,Wait attribute change comparison
UAbilityTask_WaitAttributeChange,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitAttributeChange.h,36,Waits for an attribute change
UAbilityTask_WaitAttributeChangeRatioThreshold,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitAttributeChangeRatioThreshold.h,21,Waits for the ratio between two attributes to match a threshold
UAbilityTask_WaitAttributeChangeThreshold,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitAttributeChangeThreshold.h,20,Waits for an attribute to match a threshold
UAbilityTask_WaitCancel,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitCancel.h,13,Waits for cancel
UAbilityTask_WaitConfirm,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitConfirm.h,11,Waits for confirm
UAbilityTask_WaitConfirmCancel,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitConfirmCancel.h,17,Wait for server to confirm ability activation
UAbilityTask_WaitDelay,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitDelay.h,13,Wait delay
UAbilityTask_WaitGameplayEffectApplied,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitGameplayEffectApplied.h,15,Waits for GE applied
UAbilityTask_WaitGameplayEffectApplied_Self,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitGameplayEffectApplied_Self.h,15,Waits for GE applied to self
UAbilityTask_WaitGameplayEffectApplied_Target,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitGameplayEffectApplied_Target.h,15,Waits for GE applied to target
UAbilityTask_WaitGameplayEffectBlockedImmunity,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitGameplayEffectBlockedImmunity.h,16,Waits for GE blocked by immunity
UAbilityTask_WaitGameplayEffectRemoved,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitGameplayEffectRemoved.h,20,Waits for GE removed
UAbilityTask_WaitGameplayEffectStackChange,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitGameplayEffectStackChange.h,20,Waits for GE stack change
UAbilityTask_WaitGameplayEvent,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitGameplayEvent.h,17,Waits for gameplay event
UAbilityTask_WaitGameplayTagAdded,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitGameplayTag.h,14,Waits for tag added
UAbilityTask_WaitGameplayTagRemoved,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitGameplayTag.h,34,Waits for tag removed
UAbilityTask_WaitGameplayTag,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitGameplayTagBase.h,14,Waits for gameplay tag
UAbilityTask_WaitGameplayTagCountChanged,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitGameplayTagCountChanged.h,12,Waits for tag count change
EWaitGameplayTagQueryTriggerCondition,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitGameplayTagQuery.h,13,Condition in which the wait gameplay tag query node will trigger
UAbilityTask_WaitGameplayTagQuery,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitGameplayTagQuery.h,21,Node to wait on a gameplay tag query
UAbilityTask_WaitInputPress,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitInputPress.h,17,Waits until the input is pressed from activating an ability
UAbilityTask_WaitInputRelease,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitInputRelease.h,17,Waits until the input is released from activating an ability
UAbilityTask_WaitMovementModeChange,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitMovementModeChange.h,17,Waits for movement mode change
UAbilityTask_WaitOverlap,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitOverlap.h,21,Waits for overlap; incomplete and activates only on blocking hits
UAbilityTask_WaitTargetData,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitTargetData.h,23,Wait for targeting actor (spawned from parameter) to provide data
UAbilityTask_WaitVelocityChange,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/Abilities/Tasks/AbilityTask_WaitVelocityChange.h,15,Waits for velocity change
FGameplayTagChangedEventWrapperSpecHandle,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemBlueprintLibrary.h,52,Handle to an event wrapper listening for gameplay tag changes
UAbilitySystemBlueprintLibrary,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemBlueprintLibrary.h,68,Blueprint library for the ability system
EGameplayEffectReplicationMode,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemComponent.h,80,How gameplay effects will be replicated to clients
UAbilitySystemComponent,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemComponent.h,108,The core ActorComponent for interfacing with the GameplayAbilities System
UAbilitySystemDebugHUDExtension,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemDebugHUD.h,42,Extension for displaying information on screen for each Ability System Actor
UAbilitySystemDebugHUDExtension_Tags,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemDebugHUD.h,65,Debug HUD extension for drawing all owned tags by an actor
UAbilitySystemDebugHUDExtension_Attributes,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemDebugHUD.h,88,Debug HUD extension for drawing attributes of an actor
UAbilitySystemDebugHUDExtension_BlockedAbilityTags,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemDebugHUD.h,113,Debug HUD extension for drawing all blocked ability tags on an actor
AAbilitySystemDebugHUD,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemDebugHUD.h,133,Debug HUD actor
FNetSerializeScriptStructCache,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemGlobals.h,28,Container for safely replicating script struct references
UAbilitySystemGlobals,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemGlobals.h,56,Holds global data for the ability system
UAbilitySystemInterface,UINTERFACE,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemInterface.h,19,Interface for native actors to expose access to an ability system component
UAbilitySystemReplicationProxyInterface,UINTERFACE,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemReplicationProxyInterface.h,22,Interface for actors that act like an ability system component for replication
UAbilitySystemTestAttributeSet,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemTestAttributeSet.h,12,Test attribute set
AAbilitySystemTestPawn,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemTestPawn.h,16,Test pawn
FActiveGameplayEffectHandle,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/ActiveGameplayEffectHandle.h,16,Handle to refer to a specific active GameplayEffect
UAnimNotify_GameplayCue,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AnimNotify_GameplayCue.h,18,Animation notify used for instantaneous gameplay cues (Burst/Latent)
UAnimNotify_GameplayCueState,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AnimNotify_GameplayCue.h,48,Animation notify state used for duration based gameplay cues (Looping)
FGameplayAttributeData,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AttributeSet.h,20,Place in an AttributeSet to create an attribute accessible via FGameplayAttribute
FGameplayAttribute,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AttributeSet.h,57,Describes a FGameplayAttributeData or float property inside an attribute set
UAttributeSet,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AttributeSet.h,184,Defines the set of all GameplayAttributes for your game
FAttributeMetaData,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AttributeSet.h,270,DataTable to define meta data about attributes
UGameplayAbilitiesDeveloperSettings,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitiesDeveloperSettings.h,29,Expose Global Gameplay Ability Settings via the Developer Settings interface
UGameplayAbilitiesEditorDeveloperSettings,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitiesDeveloperSettings.h,135,Editor developer settings
UGameplayAbilityBlueprint,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilityBlueprint.h,17,Specialized Blueprint whose graphs control a gameplay ability
EGameplayAbilityInputBinds,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitySet.h,24,Example input binding enum for GameplayAbilities
FGameplayAbilityBindInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitySet.h,44,Example struct pairing an enum input command to a GameplayAbilityClass
UGameplayAbilitySet,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitySet.h,62,Example DataAsset defining a set of abilities to give to an AbilitySystemComponent
EGameplayAbilityActivationMode,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitySpec.h,25,Describes the status of activating this ability as prediction is handled
EGameplayEffectGrantedAbilityRemovePolicy,UENUM,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitySpec.h,48,What happens when a GameplayEffect granting an active ability is removed
FGameplayAbilitySpecDef,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitySpec.h,60,Data used to create an FGameplayAbilitySpec
FGameplayAbilityActivationInfo,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitySpec.h,113,Data tied to a specific activation of of an ability
FGameplayAbilitySpec,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitySpec.h,167,An activatable ability spec hosted on the ability system component
FGameplayAbilitySpecContainer,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitySpec.h,300,Fast serializer wrapper for the above struct
FGameplayAbilitySpecHandle,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayAbilitySpecHandle.h,14,Handle that points to a specific granted ability
UGameplayCueFunctionLibrary,UCLASS,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueFunctionLibrary.h,22,Helpful utility functions for working with gameplay cues
UGameplayCueInterface,UINTERFACE,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueInterface.h,24,Interface for actors that wish to handle GameplayCue events from GameplayEffects
FActiveGameplayCue,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueInterface.h,100,Active gameplay cue entry
FActiveGameplayCueContainer,USTRUCT,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueInterface.h,130,Container of active gameplay cues
