ID,Chapter,Claim,File,StartLine,EndLine,Symbol,Confidence,ChangesWave1
EV-0067,S6,越界=ensure+静默NAME_None 界内错位静默,Engine/Source/Runtime/GameplayTags/Private/GameplayTagsManager.cpp,839,850,UGameplayTagsManager::GetTagNameFromNetIndex,Verified-Src,Y
EV-0068,S6,fast/dynamic/FName三态编码回放特殊路径,Engine/Source/Runtime/GameplayTags/Private/GameplayTagContainer.cpp,1572,1630,FGameplayTag::NetSerialize_Packed,Verified-Src,N
EV-0069,S6,tag计数三态复制(None/SimulatedTagOnly/CountToOwner)+5.7双容器弃用,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemComponent.h,1921,1943,UAbilitySystemComponent deprecated tag members,Verified-Src,Y
EV-0070,S6,GE授予tag按Minimal/Mixed选SimulatedTagOnly,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,4663,4674,FActiveGameplayEffectsContainer::AddActiveGameplayEffectGrantedTagsAndModifiers,Verified-Src,N
EV-0071,S7,ASC 15组复制属性与五档条件逐行,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp,1842,1877,UAbilitySystemComponent::GetLifetimeReplicatedProps,Verified-Src,Y
EV-0072,S7,ReplicatedPredictionKeyMap必须最后注册(头注释),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/AbilitySystemComponent.h,1951,1953,UAbilitySystemComponent::ReplicatedPredictionKeyMap,Verified-Src,Y
EV-0073,S7,AGE三模式分支仅两处:条件映射+连接过滤,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,5183,5269,FActiveGameplayEffectsContainer::GetReplicationCondition/NetDeltaSerialize,Verified-Src,Y
EV-0074,S7,Mixed陷阱=IsOwnedBy或GetNetConnection匹配含子连接,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,5230,5261,FActiveGameplayEffectsContainer::NetDeltaSerialize,Verified-Src,Y
EV-0075,S7,FActiveGameplayEffect复制字段仅4个(Spec/Key/GrantedHandles/StartServerWorldTime),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffect.h,1414,1454,FActiveGameplayEffect fields,Verified-Src,Y
EV-0076,S7,客户端PostReplicatedAdd自铸handle+时钟重定位+3秒cue规则,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,2804,2889,FActiveGameplayEffect::PostReplicatedAdd,Verified-Src,N
EV-0077,S7,PostReplicatedChange靠客户端缓存区分时长/堆叠/幅度三类变更,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,2891,2940,FActiveGameplayEffect::PostReplicatedChange,Verified-Src,Y
EV-0078,S7,PreNetReceive/PostNetReceive加解容器锁,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp,1959,1975,UAbilitySystemComponent::PreNetReceive,Verified-Src,N
EV-0079,S7,cue推迟到PostReplicatedReceive+unmapped连续30次报错,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,5271,5309,FActiveGameplayEffectsContainer::PostReplicatedReceive,Verified-Src,N
EV-0080,S7,子对象复制=AttributeSet+实例能力(ReplayOrOwner默认),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp,1927,1957,UAbilitySystemComponent::ReplicateSubobjects,Verified-Src,N
EV-0081,S7,目标数据服务器Validate仅指针检查,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp,4033,4045,UAbilitySystemComponent::ServerSetReplicatedTargetData_Validate,Verified-Src,Y
EV-0082,S7,冷却剩余=本地WorldTime对重定位StartWorldTime,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,5530,5553,FActiveGameplayEffectsContainer::GetActiveEffectsTimeRemaining,Verified-Src,N
EV-0083,S7,StartWorldTime=WorldTime-(ServerWorldTime-StartServerWorldTime),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,2947,2955,FActiveGameplayEffect::RecomputeStartWorldTime,Verified-Src,N
EV-0084,S8,乐观收敛终裁:无快照重放路径只有delegate撤销+权威覆盖,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayPrediction.cpp,299,355,FPredictionKeyDelegates::Reject/CatchUpTo,Verified-Src,Y
EV-0085,S8,NetSerialize定向:1bit valid+1bit server+int16 仅回源客户端,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayPrediction.cpp,115,187,FPredictionKey::NetSerialize,Verified-Src,N
EV-0086,S8,依赖键:Base记录+AddDependency三向delegate+DepChainBehavior位掩码,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayPrediction.cpp,199,221,FPredictionKey::GenerateDependentPredictionKey,Verified-Src,N
EV-0087,S8,ScopedPredictionWindow两构造一析构(服务器接键/客户端造键/析构确认),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayPrediction.cpp,387,541,FScopedPredictionWindow,Verified-Src,Y
EV-0088,S8,非Shipping下RPC拦截检测泄漏键,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayPrediction.cpp,439,509,FScopedPredictionWindow debug hooks,Verified-Src,N
EV-0089,S8,OnRep:CatchUpTo+环形stale清扫+三种StaleKeyBehavior,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayPrediction.cpp,594,684,FReplicatedPredictionKeyItem::OnRep,Verified-Src,N
EV-0090,S8,FScopedDiscardPredictions:SilentlyDrop/Accept/Reject整链,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayPrediction.cpp,545,590,FScopedDiscardPredictions,Verified-Src,N
EV-0091,S8,Epic设计自述:链式不回滚/乘法基数错/meta不预测/触发不复制/不跨帧预测,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayPrediction.h,47,263,GameplayPrediction design comment,Verified-Doc,Y
EV-0092,S8,预测GE撤销注册:CaughtUp/Rejected→RemoveActiveGameplayEffect_AllowClientRemoval,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,4510,4545,FActiveGameplayEffectsContainer::ApplyGameplayEffectSpec,Verified-Src,N
EV-0093,S8,周期GE禁预测(客户端无效键返回/服务器作废键),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp,1021,1034,UAbilitySystemComponent::ApplyGameplayEffectSpecToSelf,Verified-Src,N
EV-0094,S8,客户端RemoveActiveGameplayEffect默认拒绝需Fix放行,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp,1249,1263,UAbilitySystemComponent::RemoveActiveGameplayEffect,Verified-Src,N
EV-0095,S8,HasAuthorityOrPredictionKey=Authority模式或CanPredict,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp,1977,1980,UAbilitySystemComponent::HasAuthorityOrPredictionKey,Verified-Src,N
EV-0096,S9,cue三路径:FastArray持续/Minimal属性/NetMulticast执行,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayCueManager.cpp,1423,1580,UGameplayCueManager::InvokeGameplayCueExecuted*,Verified-Src,N
EV-0097,S9,全部cue multicast实现带IsLocalClientKey吸收守卫+Mixed特例,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp,1652,1747,UAbilitySystemComponent::NetMulticast_InvokeGameplayCue*,Verified-Src,N
EV-0098,S9,Mixed模式OriginalHack:服务器发起键防双播,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp,1569,1592,UAbilitySystemComponent::AddGameplayCue_Internal,Verified-Src,N
EV-0099,S9,发送上下文批量冲刷(Start/EndGameplayCueSendContext),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayCueManager.cpp,1473,1504,UGameplayCueManager::AddPendingCueExecuteInternal,Verified-Src,N
EV-0100,S9,UFortGameplayCueNotify_Burst类名泄漏引擎源码,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayCueNotify_HitImpact.h,20,20,UGameplayCueNotify_HitImpact,Verified-Src,N
EV-0101,S10,AbilityTask全局1000上限+超限自动dump,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/Abilities/Tasks/AbilityTask.cpp,69,110,UAbilityTask ctor,Verified-Src,N
EV-0102,S10,任务广播闸门=Ability&&IsActive,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/Abilities/Tasks/AbilityTask.cpp,197,207,UAbilityTask::ShouldBroadcastAbilityTaskDelegates,Verified-Src,N
EV-0103,S10,挂起态三表(目标数据/复制数据缓存/generic事件)键=Handle+原始键,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp,4007,4031,UAbilitySystemComponent::ServerSetReplicatedTargetData_Implementation,Verified-Src,N
EV-0104,S10,任务三态等待位图WaitingOnGame/User/Avatar,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/Abilities/Tasks/AbilityTask.cpp,224,270,UAbilityTask::SetWaitingOnRemotePlayerData,Verified-Src,N
EV-0105,S11,顺序敏感容器清单:AGE RemoveAtSwap/mod RemoveAllSwap/TMap哈希序,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayEffect.cpp,4902,4902,FActiveGameplayEffectsContainer::InternalRemoveActiveGameplayEffect,Verified-Src,Y
EV-0106,S11,进程级全局单例状态清单(计数器/当前GE指针/委托表/脏集),Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Public/GameplayEffectAggregator.h,408,412,FScopedAggregatorOnDirtyBatch statics,Verified-Src,N
EV-0107,S12,76 CVar+30命令全清单(含三个拼写陷阱),appendix/cvar-and-commands.csv,1,107,cvar extraction,Verified-Src,Y
EV-0108,S12,showdebug分类Attributes/GameplayEffects/Ability,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/AbilitySystemComponent.cpp,2415,2430,FASCDebugTargetInfo,Verified-Src,N
EV-0109,S12,GameplayDebugger类别名Abilities Shift1-4,Engine/Plugins/Runtime/GameplayAbilities/Source/GameplayAbilities/Private/GameplayAbilitiesModule.cpp,77,77,FGameplayDebugger registration,Verified-Src,N
