ID,StateKind,Direction,Mechanism,Condition,Reliability,Content,Coordinate
R11,Blocked input bindings,Server->Owning client,Replicated property,COND_OwnerOnly,Reliable,TArray<uint8> counts,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent.cpp:1868-1869
R12,Attribute set subobjects,Server->Client,ActorChannel ReplicateSubobject,COND_None (ability instances: ReplayOrOwner default),Reliable,UAttributeSet instances + replicated instanced abilities,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent.cpp:1927-1957 + 330-353
R13,Owner/Avatar actors,Server->Client,Replicated object refs,COND_None,Reliable,owner & avatar pointers,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent.cpp:1856-1857
R14,Ability activation request,Client->Server,Server RPC ServerTryActivateAbility(+WithEventData),n/a (validation trivial returns true; real check = re-running InternalTryActivateAbility),Reliable,Handle+InputPressed+PredictionKey,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp:2016-2033 + 2054-2125
R15,Activation result,Server->Client,Client RPC ClientActivateAbilityFailed / ClientActivateAbilitySucceed(+WithEventData),n/a Reliable,Reliable,reject broadcasts RejectedDelegates; confirm marks instance Confirmed,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp:2279-2333 + 2362-2471
R16,Target data,Client->Server,Server RPC ServerSetReplicatedTargetData (batchable),validate = pointer-validity only (no game-logic check),Reliable,FGameplayAbilityTargetDataHandle,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp:4007-4045
R17,Target data (server->client),Server->Client,Client RPC ClientSetReplicatedTargetData,n/a,Reliable,confirmed target data for predicted abilities,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp:4090-4127 region
R18,Generic replicated events,Both,Server/Client RPC ServerSetReplicatedEvent / ClientSetReplicatedEvent (confirm/cancel/interrupt),n/a,Reliable,EAbilityGenericReplicatedEvent + original prediction key,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp:3934-4007
R19,End/Cancel ability,Both,ServerEndAbility/ServerCancelAbility + ClientEndAbility/ClientCancelAbility,NetSecurityPolicy gates termination,Reliable,handle+ActivationInfo(+key),Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp:2127-2268
R20,Cue executed event,Server->Clients,NetMulticast_InvokeGameplayCueExecuted[_WithParams/_FromSpec],absorption guard IsLocalClientKey()==false,Unreliable (NetMulticast),cue tag+params+prediction key,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent.cpp:1652-1696 + Private/GameplayCueManager.cpp:1423-1580
R21,Cue add/remove events,Server->Clients,NetMulticast_InvokeGameplayCueAdded[AndWhileActive]/NetMulticast_InvokeGameplayCueRemoved,absorption guard + mixed-mode server-key skip,Unreliable,cue tag+params,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent.cpp:1698-1747
R22,RPC batch,Client->Server,Server RPC ServerAbilityRPCBatch,n/a,Reliable,TryActivate+TargetData+End with shared key,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp:4184-4252
R23,Montage control,Client->Server,ServerCurrentMontageSetNextSectionName/JumpToSection/SetPlayRate,validate vs client position tolerance,Reliable,section/playrate,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp:3634-3719
R24,Input press/release,Client->Server,ServerSetInputPressed/ServerSetInputReleased,validate trivial,Reliable,spec handle,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent_Abilities.cpp:2885-2913
R25,Debug strings,Server->Replay only,Replicated property,COND_ReplayOnly,Reliable,debug text,Engine/Plugins/Runtime/GameplayAbilities/Private/AbilitySystemComponent.cpp:1864-1866
