id,missing_capability,who_and_how,concrete_failure,priority,direction
G31,导入完成后的语义校验与源/目标逐块对照缺失,编辑/修复工具可扫描 chunk；parser库可作为独立 oracle。〔S012、S027、S035〕,转换“成功”但大量朝向、负坐标、biome或block entity错；直到玩家走到远区才发现且源已删除。,必须现在补,坐标覆盖、palette/state分布、抽样/全量逐块IR compare、渲染切片、round-trip与loss预算。
G32,世界块与实体/玩家 checkpoint 的逻辑 fence 缺失,Bedrock actor记录与chunk索引分离；Minecraft实体拆分独立region；数据库事务可跨表。〔S009、S017、S060〕,箱子/背包或实体位置两边先后落盘，崩溃后复制物品、丢实体或把玩家恢复到未加载区域。,必须现在补,保存独立文件也要记录共同 transaction/checkpoint fence 与恢复顺序；细节见ECS专项。
G33,存档体积、热力、dirty age、compaction debt与加载分项观测缺失,RocksDB/SQLite暴露checkpoint/compaction状态；成熟编辑器有region/chunk检视。〔S027、S062、S064〕,容量和卡顿只能靠猜；磁盘满、旧revision pin泄漏或某触发源加载风暴在事故前无早期信号。,可以推迟但要预留,事件/指标字段现在冻结，UI可后做；任何 load/evict/flush 都带 reason与bytes/timing。
G34,chunk/page/codec/驻留策略的基准门槛与老化工作负载缺失,公开格式数字不能替代目标硬件；Chunker OOM/region碎片表明真实数据分布决定结果。〔S025、S011〕,先凭偏好冻结 64³ chunk 或某压缩级别，随后在浏览器/高修改密度世界发现 p99、内存或写放大不可接受，改版需全量迁移。,必须现在补,先跑附录 benchmark matrix；以p99、峰值内存、write/space amp、Range请求数定案。
G35,base/content旧版本的 GC roots 与回滚 lineage 缺失,immutable catalog/shard与overlay都要求旧base在引用消失前保留。〔S048、S050、S076〕,清理脚本删除仍被玩家overlay或旧checkpoint引用的B0；下一次加载/回滚时所有这些世界不可恢复。,必须现在补,manifest引用图、lease/retention、mark-and-sweep dry run与删除审计。
G36,加密随机读的 nonce/key derivation 与 key rotation 未定义,题面只有加密元数据；随机page需要独立认证边界。,重复nonce破坏机密性，或轮换key要求整世界停机重写；Range读取无法单page认证。,可以推迟但要预留,encryption profile/version/key id进入container manifest；每page唯一nonce derivation与认证tag。
G37,反向导回 Minecraft 的稳定承诺,Chunker解决两版转换但明确有丢失项，Java/Bedrock语义并不对称。〔S021、S022〕,若过早承诺双向无损，目标特有方块、负高度/尺寸、实体与overlay会迫使存档模型被Minecraft限制绑架。,明确可以不做,首版只做可审计单向导入；保留IR/provenance，不承诺 exporter。
G38,浏览器完整离线 Authority 存档,浏览器配额/驱逐与WASM heap均无跨设备固定保证。〔S056、S057、S058、S059〕,把首版联机Replica扩成完整本地Authority，会把WAL、备份、加密、quota和迁移同时带入浏览器，掩盖核心联机目标。,明确可以不做,首版纯流式+可丢cache；未来作为独立能力重新评估。
G39,全局 mmap/零拷贝存档 ABI,WASM无通用文件mmap；palette/压缩/版本迁移本就需要decode。〔S056〕,为追求零拷贝把磁盘结构绑到Rust/C#对象布局、对齐和端序，后续任何字段演进都破坏格式。,明确可以不做,只允许服务端索引层实现私有mmap优化，不进入公共契约。
G40,同一物理文件同时承担 Authority 写库与 CDN/浏览器 Range,PMTiles/COG/Zarr偏immutable读取；SQLite/LevelDB偏事务写，目标相冲突。〔S050、S052、S053、S060、S063〕,为了Range限制Authority compaction/事务，或直接发布活跃可写文件导致缓存读到撕裂数据与内部元数据泄露。,明确可以不做,用显式 projection/export pipeline连接两种container。
