原因枚举(ENetCloseResult),触发点(路径:行 · 符号),条件/说明,断连方式,置信度
ReadHeaderExtraFail,NetConnection.cpp:3502 · ReceivedPacket,包头扩展信息读取失败,HandleNetResultOrClose,Verified-Src
BunchBadChannelIndex,NetConnection.cpp:3676 · DispatchPacket,bunch ChIndex >= Channels.Num()(:3672),Close(BunchBadChannelIndex),Verified-Src
BunchChannelNameFail,NetConnection.cpp:3798 · DispatchPacket,通道名序列化失败,HandleNetResultOrClose,Verified-Src
BunchWrongChannelType,NetConnection.cpp:3818 · DispatchPacket,bunch 类型与既有通道不符(:3814-3816),Close,Verified-Src
BunchHeaderOverflow,NetConnection.cpp:3841 · DispatchPacket,bunch 头溢出(按 MaxPacket*8 读长度后 Reader.IsError :3837),HandleNetResultOrClose,Verified-Src
BunchDataOverflow,NetConnection.cpp:3858 · DispatchPacket,bunch 声称大于所在包(:3852 ResetData 后 IsError),HandleNetResultOrClose,Verified-Src
BunchServerPackageMapExports,NetConnection.cpp:3870 · DispatchPacket,服务器收到 bHasPackageMapExports 包,Close,Verified-Src
BunchPrematureControlChannel,NetConnection.cpp:3917 · DispatchPacket,控制通道未建先收非控制 bunch,Close,Verified-Src
BunchPrematureChannel,NetConnection.cpp:3930 · DispatchPacket,PlayerController 未指派先收数据 bunch,Close,Verified-Src
BunchPrematureControlClose,NetConnection.cpp:3940 · DispatchPacket,open 前收 control close,Close,Verified-Src
UnknownChannelType,NetConnection.cpp:4076 · DispatchPacket,未知通道类型,Close,Verified-Src
CorruptData(bunch 错误汇总点),NetConnection.cpp:4196-4207 · DispatchPacket,Bunch.IsCriticalError()||IsError()(:4187);服务器必断;客户端仅 Iris 断(:4207) 非 Iris 只记日志,Close(CorruptData),Verified-Src
SocketSendFailure,NetConnection.cpp:4907 · Tick,bConnectionPendingCloseDueToSocketSendFailure(置位入口 :6079 引擎内无调用者 供 licensee),Close(SocketSendFailure),Verified-Src
BadChildConnectionIndex,NetConnection.cpp:5456 · RemoveChild,收到的 PlayerController 找不到 LocalPlayer,Parent->Close,Verified-Src
LogLimitInstant,NetConnection.cpp:5902 · TrackLogsPerSecond,>60 logs/s(MAX_LOGS_PER_SECOND_INSTANT :5885),Close(LogLimitInstant),Verified-Src
LogLimitSustained,NetConnection.cpp:5926 · TrackLogsPerSecond,持续 >5 logs/s 超10次(:5886-5887),Close(LogLimitSustained),Verified-Src
EncryptionFailure,NetConnection.cpp:6216-6219 · SendChallengeControlMessage,加密握手失败,SendCloseReason+Close,Verified-Src
ReliableBufferOverflow(发送侧),Engine/Source/Runtime/Engine/Private/DataChannel.cpp:1414-1445 · UChannel::SendBunch,NumOutRec + OutgoingBunches.Num() >= RELIABLE_BUFFER(512)+bClose(:1414)且 bReliable(:1431);先发 NMT_Failure("Outgoing reliable buffer overflow")再关,SendCloseReason+Close(ReliableBufferOverflow),Verified-Src
MaxReliableExceeded(接收侧),DataChannel.cpp:681-686 · UChannel::ReceivedRawBunch,NumInRec >= RELIABLE_BUFFER(512);SetError 后经链上抛至 CorruptData(NetConnection.cpp:4196)断连,Bunch.SetError→链式断连,Verified-Src
RPCReliableBufferOverflow,Engine/Source/Runtime/Engine/Private/NetDriver.cpp:3314-3331 · ProcessRemoteFunctionForChannelPrivate,reliable RPC 的 FOutBunch 构造溢出;非 reliable 仅告警(:3319),SendCloseReason+NMT_Failure+Close,Verified-Src
ControlChannelClose,DataChannel.cpp:375 · UChannel::CleanUp,控制通道(ChIndex==0)被清理即关连接,Connection->Close,Verified-Src
ControlChannelEndianCheck,DataChannel.cpp:1832 · UControlChannel::ReceivedBunch,字节序检查失败,Close,Verified-Src
ControlChannelPlayerChannelFail,DataChannel.cpp:1880 · UControlChannel::ReceivedBunch,PlayerController 通道初始化失败,Close,Verified-Src
ClientSentDestructionInfo,DataChannel.cpp:1950 · UControlChannel::ReceivedBunch,服务器收到 NMT_DestructionInfo(方向违规),Close,Verified-Src
ControlChannelMessageUnknown,DataChannel.cpp:2141 · UControlChannel::ReceivedBunch,未注册的控制消息类型,Close,Verified-Src
ControlChannelMessageFail,DataChannel.cpp:2161 · UControlChannel::ReceivedBunch,消息 payload 读取错误(:2145 停止读循环),Close,Verified-Src
ControlChannelQueueOverflow(不走Close),DataChannel.cpp:2170-2176 · UControlChannel::QueueMessage,QueuedMessages >= MAX_QUEUED_CONTROL_MESSAGES(32768 ControlChannel.h:64);直接 SetConnectionState(USOCK_Closed) 绕过 Close(),直接置 Closed,Verified-Src
ControlChannelBunchOverflowed,DataChannel.cpp:2209 · UControlChannel::SendBunch,bunch 构造即溢出(如文本超包),Close,Verified-Src
ControlChannelQueueBunchOverflowed,DataChannel.cpp:2277 · UControlChannel::Tick,排队消息重发时溢出,Close,Verified-Src
ContentBlockFail/ObjectReplicatorReceivedBunchFail,DataChannel.cpp:3428/3473 · UActorChannel::ProcessBunchInternal,ContentBlock 读取错误/Replicator->ReceivedBunch 失败;回放仅 Broken=1(:3419),Close(链式),Verified-Src
HostClosedConnection,NetDriver.cpp:2606 · UNetDriver::Shutdown,服务器主动关停:先 NMT_Failure("Host closed the connection."),CleanUp 各连接,SendCloseReason+CleanUp,Verified-Src
Disconnect,NetDriver.cpp:3942/3968 · HandleNetDisconnectCommand,控制台 net disconnect,SendCloseReason+NMT_Failure+Close,Verified-Src
OutdatedClient(版本),NetConnection.cpp:1372 · UNetConnection::HandleReceiveNetUpgrade,NMT_Upgrade 后仍不兼容,Close(OutdatedClient),Verified-Src
(通道级)EChannelCloseReason::Relevancy,NetDriver.cpp:5611/5887,失相关关通道(见T5/T6) 非断连,Channel->Close(通道级),Verified-Src
(通道级)EChannelCloseReason::Dormancy,DataChannel.cpp:4603 · UActorChannel::BecomeDormant,休眠关通道 非断连,Channel->Close(通道级),Verified-Src
(通道级)EChannelCloseReason::TearOff,NetDriver.cpp:5887,撕离 非断连,Channel->Close(通道级),Verified-Src
(通道级)EChannelCloseReason::LevelUnloaded,NetConnection.cpp:2037 / NetDriver.cpp:4730,流送层级卸载 非断连,Channel->Close(通道级),Verified-Src
GracefulClose 机制,NetConnection.cpp:1189-1224 · GracefulClose/TryClosePendingGracefulClose,5.8 新增:等所有通道可靠数据被 ack 后才真正 Close(每帧 Tick :5048 重试;超时 GracefulCloseConnectionTimeout=2.0 NetDriver.h:951),延迟 Close,Verified-Src
