类别,名称,默认值,注册/定义点(相对引擎根),一句话语义/作用点,置信度
CVar,wp.Runtime.EnableServerStreamingOut,false,WorldPartition.cpp:136-138,服务器流出(卸载)开关,Verified-Src
CVar,wp.Runtime.DebugDedicatedServerStreaming,0,WorldPartition.cpp:115,DS 流送调试,Verified-Src
CVar,t.MaxFPS,0,Engine/Source/Runtime/Engine/Private/UnrealEngine.cpp:12136-12138,引擎帧率上限(DS 上最终覆盖 NetServerMaxTickRate),Verified-Src
CVar,networkversionoverride,(默认 ENGINE_NET_VERSION),Engine/Source/Runtime/Core/Private/Misc/NetworkVersion.cpp:141-144,覆盖 NetCL(命令行同名单参),Verified-Src
CVar,net.Iris.UseIrisReplication,0,Engine/Source/Runtime/Net/Iris/Private/Iris/IrisConfig.cpp:16,Iris 总开关,Verified-Src
CVar,net.iris.UpdateReplicationSystemWithNoConnections,true,NetDriver.cpp:374,无连接时仍推进 Iris 复制系统,Verified-Src
CVar,net.iris.AllowParallelNetTick,false,NetDriver.cpp:380,Iris 连接 tick 并行化,Verified-Src
CVar,net.MaxSerializedNetGuids,2048,Engine/Source/Runtime/Engine/Private/PackageMapClient.cpp:65,单包 NetGuid 序列化上限,Verified-Src
CVar,net.UseAdaptiveNetUpdateFrequency 作用点,-,NetDriver.cpp:965,旧复制路径按实际发送频率回写 NetUpdateFrequency,Verified-Src
CVar(Iris RPC 队列),net.UnreliableRPCQueueSize=10 / net.ReliableRPCQueueSize=4096 / net.ClientToServerUnreliableRPCQueueSize=16 / net.MaxSimultaneousObjectsWithRPCs=4096,-,Engine/Source/Runtime/Net/Iris/Private/Iris/ReplicationSystem/AttachmentReplication.cpp:23-33,Iris RPC 队列上限族,Verified-Src
CVar(仿真),netEmulation.PktLag*/PktLoss*/BufferBloat*,-,NetConnection.cpp 及 IpNetDriver,丢包/延迟/缓冲膨胀仿真(前缀 netEmulation.),Verified-Src(存在性;逐个默认值未列)
ini 键,NetServerMaxTickRate=30,Engine/Config/BaseEngine.ini:1867,Engine/Source/Runtime/Engine/Classes/Engine/NetDriver.h:876-877,DS tick 率(消费点 GameEngine.cpp:1740-1746),Verified-Src
ini 键,MaxNetTickRate=120,BaseEngine.ini:1868,NetDriver.h:903-904,网络层自我节流上限(NetConnection.cpp:4808-4823),Verified-Src
ini 键,ConnectionTimeout=60.0 / InitialConnectTimeout=60.0,BaseEngine.ini:1855-1856,NetDriver.h:935-944,连接超时(URL 可覆盖 NetDriver.cpp:1837-1852),Verified-Src
ini 键,KeepAliveTime=0.2,BaseEngine.ini:1859,NetDriver.h:931-932,保活包间隔,Verified-Src
ini 键,RelevantTimeout=5.0,BaseEngine.ini:1864,NetDriver.h:927-928,失相关滞回窗口,Verified-Src
ini 键,SpawnPrioritySeconds=1.0,BaseEngine.ini,NetDriver.h:919-920,新实体首发优先级基数,Verified-Src
ini 键,ServerTravelPause=4.0,BaseEngine.ini,NetDriver.h:915-916,切图前给客户端收尾 RPC 的时间,Verified-Src
ini 键,MaxClientRate=100000 / MaxInternetClientRate=100000,BaseEngine.ini:1866-1867,NetDriver.h:907-912,每连接速率上限族,Verified-Src
ini 键,ConfiguredInternetSpeed=100000 / ConfiguredLanSpeed=100000,BaseEngine.ini:1838-1840(段[/Script/Engine.Player]),Engine/Classes/Engine/Player.h:30-36,默认 NetSpeed 来源,Verified-Src
ini 键,DefaultMaxChannelSize=32767,-,NetConnection.h:657-658(默认在 NetConnection.cpp:405),通道数组默认上限,Verified-Src
ini 键,TotalNetBandwidth=32000 / MinDynamicBandwidth=4000 / MaxDynamicBandwidth=7000,Engine/Config/BaseGame.ini:19-47,GameNetworkManager.h:62-71,动态总带宽,Verified-Src
ini 键,ClientNetSendMoveDeltaTime=0.0166 / Throttled=0.0222 / Stationary=0.0166 / ClientNetSendMoveThrottleAtNetSpeed=10000 / OverPlayerCount=10,BaseGame.ini,GameNetworkManager.h:156-173,CMC 发送节流族(T10),Verified-Src
ini 键,MoveRepSize=42 / MAXPOSITIONERRORSQUARED=3.0 / MAXCLIENTUPDATEINTERVAL=0.25 / MaxMoveDeltaTime=0.125 / CLIENTADJUSTUPDATECOST=180,BaseGame.ini,GameNetworkManager.h:112-146,CMC 复制尺寸与纠错阈值族,Verified-Src
ini 键,ClientAuthorativePosition=false,BaseGame.ini,GameNetworkManager.h:188-189,客户端权威位置总开关(信任边界),Verified-Src
ini 键,bUseDistanceBasedRelevancy=true,BaseGame.ini(默认在 GameNetworkManager.cpp:54),GameNetworkManager.h:287-288,距离相关性总开关(IsNetRelevantFor :417),Verified-Src
ini 键,SocketErrorDisconnectDelay=5.0,-,OnlineSubsystemUtils/Classes/IpConnection.h:98-100(构造默认 IpConnection.cpp:104),socket 错误后宽限,Verified-Src
ini 键,IrisNetDriverConfigs,-,BaseEngine.ini:346-347,每 NetDriver 的 bCanUseIris(GameNetDriver=true/DemoNetDriver=false),Verified-Src
ini 键,MaxRepArraySize(预研名),不存在,5.8 仅剩 NetworkSettings.h:32-36 的注释性常量 DefaultMaxRepArraySize=2048,证伪记录,Verified-Src
命令,stat net / stat packet,-,组名剥离 UnrealEngine.cpp:6039(入口 HandleStatCommand :5640),统计组开关,Verified-Src
命令,net.DumpActiveNetActors,-,NetDriver.cpp:433,倾倒活动复制对象,Verified-Src
命令,net.DumpRelevantActors,-,NetDriver.cpp:9314,倾倒每连接相关集,Verified-Src
命令,net.PrintNetConnections,-,NetDriver.cpp:9375,连接清单,Verified-Src
命令,net.ListNetGUIDs / net.ListActorChannels / net.DeleteDormantActor,-,DataChannel.cpp:5712/5769/5816,GUID/通道/休眠调试,Verified-Src
命令,net.SimulateConnections / net.ForceOnePacketPerBunch,-,NetConnection.cpp:6404/6408,模拟连接/逐 bunch 打包,Verified-Src
命令,net disconnect,-,NetDriver.cpp:3931-3968,主动断连(HandleNetDisconnectCommand),Verified-Src
命令,reconnect,-,UnrealEngine.cpp:15565-15570,重连=重新 Browse(无会话恢复,T15),Verified-Src
命令,GETMAXTICKRATE,-,GameEngine.cpp:1697-1701,打印当前 tick 率,Verified-Src
命令,Net.PushModelPrintHandles,-,PushModel.cpp:448,打印 push model 句柄,Verified-Src
日志分类,LogNet/LogNetLifecycle/LogNetSubObject/LogRep/LogNetPlayerMovement/LogNetTraffic/LogRepTraffic/LogNetDormancy,-,EngineLogs.h:21-28 定义 DataChannel.cpp:51-58,网络日志族(详见 T16),Verified-Src
日志分类,LogNetFastTArray(LogRepFastArray 之真名),-,Net/Core/Classes/Net/Serialization/FastArraySerializer.h:41,FastArray 日志,Verified-Src
日志分类,LogIris 族(LogIris/Filtering/NetCull/CreationFlow/DirtyTracker/ChunkedDataStream),-,Net/Iris/Public/Iris/Core/IrisLog.h 等,Iris 专属,Verified-Src
stat,STATGROUP_Net(约 60 项) / STATGROUP_Packet,-,EngineStats.h:204-272,网络统计组(逐项见 T16),Verified-Src
trace,NetChannel,-,Net/Core/Private/Net/Core/Trace/Reporters/NetTraceReporter.cpp:16-17,唯一网络 trace channel(Network Insights),Verified-Src
