编号,章节,论断摘要,文件路径(相对引擎根),起行,止行,符号名,置信度,改变预研结论
EV-033,T4,ReplicateActor 属性段(复用前连接工作),Engine/Source/Runtime/Engine/Private/DataReplication.cpp,1940,2090,FObjectReplicator::ReplicateActor,Verified-Src,N
EV-034,T4,FSendingRepState=共享历史游标,Engine/Source/Runtime/Engine/Public/Net/RepLayout.h,567,629,FSendingRepState,Verified-Src,Y
EV-035,T4,RepLayout 每类缓存于驱动,Engine/Source/Runtime/Engine/Private/NetDriver.cpp,7878,7878,RepLayoutMap.Add,Verified-Src,N
EV-036,T4,Push Model 默认关+蓝图默认 push,Engine/Source/Runtime/Net/Core/Private/Net/Core/PushModel/PushModel.cpp,434,446,Net.IsPushModelEnabled,Verified-Src,N
EV-037,T4,ELifetimeCondition 全表 18 项,Engine/Source/Runtime/CoreUObject/Public/UObject/CoreNetTypes.h,16,36,ELifetimeCondition,Verified-Src,N
EV-038,T4,RepNotify 在 bunch 属性落盘后批触发,Engine/Source/Runtime/Engine/Private/DataReplication.cpp,1592,1610,FObjectReplicator::PostReceivedBunch,Verified-Src,N
EV-039,T4,FastArray 设计代价(顺序不保证/手工脏),Engine/Source/Runtime/Net/Core/Classes/Net/Serialization/FastArraySerializer.h,50,223,FFastArraySerializer,Verified-Src,N
EV-040,T4,ReplicateSubobjects 手工子对象,Engine/Source/Runtime/Engine/Private/DataChannel.cpp,4007,4007,UActorChannel::ReplicateActor,Verified-Src,N
EV-041,T5,TickFlush Iris/经典二选一,Engine/Source/Runtime/Engine/Private/NetDriver.cpp,1186,1233,UNetDriver::TickFlush,Verified-Src,N
EV-042,T5,主循环骨架(RepGraph 接管/ReplicationFrame++/CPU 饱和判据),Engine/Source/Runtime/Engine/Private/NetDriver.cpp,6277,6473,UNetDriver::ServerReplicateActors,Verified-Src,Y
EV-043,T5,PrepConnections(1.5s 无收静默/连接节流),Engine/Source/Runtime/Engine/Private/NetDriver.cpp,5198,5301,ServerReplicateActors_PrepConnections,Verified-Src,N
EV-044,T5,BuildConsiderList(频率门/自适应/抖动/PreReplication 一次),Engine/Source/Runtime/Engine/Private/NetDriver.cpp,5303,5455,ServerReplicateActors_BuildConsiderList,Verified-Src,N
EV-045,T5,PrioritizeActors(相关集+排序+NetTag),Engine/Source/Runtime/Engine/Private/NetDriver.cpp,5528,5679,ServerReplicateActors_PrioritizeActors,Verified-Src,Y
EV-046,T5,ProcessPrioritizedActorsRange(两道预算门/截断 return j/滞回),Engine/Source/Runtime/Engine/Private/NetDriver.cpp,5687,5894,ServerReplicateActors_ProcessPrioritizedActorsRange,Verified-Src,Y
EV-047,T5,MarkRelevantActors 截断回流,Engine/Source/Runtime/Engine/Private/NetDriver.cpp,5896,5934,ServerReplicateActors_MarkRelevantActors,Verified-Src,N
EV-048,T5,ForConnection(Viewer 构建/纠正每包一次),Engine/Source/Runtime/Engine/Private/NetDriver.cpp,5938,6016,ServerReplicateActors_ForConnection,Verified-Src,N
EV-049,T5,带宽 token bucket(QueuedBits 扣减/回填/2 帧突发),Engine/Source/Runtime/Engine/Private/NetConnection.cpp,5112,5145,UNetConnection::Tick,Verified-Src,N
EV-050,T5,IsNetReady 判定式,Engine/Source/Runtime/Engine/Private/NetConnection.cpp,2731,2751,UNetConnection::IsNetReady,Verified-Src,N
EV-051,T5,FActorPriority 优先级公式,Engine/Source/Runtime/Engine/Private/NetDriver.cpp,5152,5162,FActorPriority::FActorPriority,Verified-Src,N
EV-052,T5,GetNetPriority 距离/视角乘数,Engine/Source/Runtime/Engine/Private/ActorReplication.cpp,48,92,AActor::GetNetPriority,Verified-Src,N
EV-053,T5,优先级距离阈值编译期宏,Engine/Source/Runtime/Engine/Public/NetworkingDistanceConstants.h,8,15,NEARSIGHTTHRESHOLDSQUARED 等,Verified-Src,N
EV-054,T5,NetUpdateFrequency 默认 100/Min 2,Engine/Source/Runtime/Engine/Private/Actor.cpp,295,296,AActor::AActor,Verified-Src,N
EV-055,T5,ConfiguredInternetSpeed=100000,Engine/Config/BaseEngine.ini,1838,1840,[/Script/Engine.Player],Verified-Src,N
EV-056,T6,IsNetRelevantFor 默认实现全分支,Engine/Source/Runtime/Engine/Private/ActorReplication.cpp,388,419,AActor::IsNetRelevantFor,Verified-Src,N
EV-057,T6,距离判定=平方距离<NetCullDistanceSquared,Engine/Source/Runtime/Engine/Private/ActorReplication.cpp,383,386,AActor::IsWithinNetRelevancyDistance,Verified-Src,N
EV-058,T6,RelevantTimeout Config 默认 5s(滞回语义注释),Engine/Source/Runtime/Engine/Classes/Engine/NetDriver.h,922,928,RelevantTimeout,Verified-Src,N
EV-059,T6,ENetDormancy 全表,Engine/Source/Runtime/Engine/Classes/Engine/EngineTypes.h,3595,3611,ENetDormancy,Verified-Src,N
EV-060,T6,SetNetDormancy/FlushNetDormancy 唤醒路径,Engine/Source/Runtime/Engine/Private/Actor.cpp,3051,3135,AActor::SetNetDormancy/FlushNetDormancy,Verified-Src,N
EV-061,T6,BecomeDormant 关通道,Engine/Source/Runtime/Engine/Private/DataChannel.cpp,4597,4603,UActorChannel::BecomeDormant,Verified-Src,N
EV-062,T6,ReplicationGraph 弃用 IsNetRelevantFor/GetNetPriority(头注释),Engine/Plugins/Runtime/ReplicationGraph/Source/Public/ReplicationGraph.h,18,46,UReplicationGraph,Verified-Src,N
EV-063,T6,RepGraph 节点族与 Gather 纯虚,Engine/Plugins/Runtime/ReplicationGraph/Source/Public/ReplicationGraph.h,69,1284,UReplicationGraphNode 族,Verified-Src,N
EV-064,T6,RepGraph 主循环/Gather 调用链/饥饿处理,Engine/Plugins/Runtime/ReplicationGraph/Source/Private/ReplicationGraph.cpp,1112,2254,UReplicationGraph::ServerReplicateActors 等,Verified-Src,N
EV-065,T7,ProcessRemoteFunction 全路径(守卫/钩子/multicast 相关性),Engine/Source/Runtime/Engine/Private/NetDriver.cpp,8125,8277,UNetDriver::ProcessRemoteFunction,Verified-Src,N
EV-066,T7,可靠组播对失相关通道的豁免,Engine/Source/Runtime/Engine/Private/NetDriver.cpp,8240,8251,ProcessRemoteFunction multicast 分支,Verified-Src,N
EV-067,T7,_Validate 失败=断连链,Engine/Source/Runtime/Engine/Private/DataReplication.cpp,1465,1469,FObjectReplicator::ReceivedRPC,Verified-Src,N
EV-068,T7,RPC_ValidateFailed 置错原语,Engine/Source/Runtime/CoreUObject/Private/UObject/CoreNet.cpp,667,675,RPC_ValidateFailed,Verified-Src,N
EV-069,T7,未知函数静默拒,Engine/Source/Runtime/Engine/Private/DataReplication.cpp,1471,1474,ReceivedRPC else 分支,Verified-Src,N
EV-070,T8,Iris 开关默认 0,Engine/Source/Runtime/Net/Iris/Private/Iris/IrisConfig.cpp,16,39,net.Iris.UseIrisReplication,Verified-Src,N
EV-071,T8,Iris 量化双表示(External/Internal offset),Engine/Source/Runtime/Net/Iris/Public/Iris/ReplicationState/ReplicationStateDescriptor.h,28,101,FReplicationStateDescriptor 族,Verified-Src,N
EV-072,T8,Filter/Prioritizer 独立接口族,Engine/Source/Runtime/Net/Iris/Public/Iris/ReplicationSystem/ReplicationSystem.h,32,44,UNetObjectFilter/UNetObjectPrioritizer,Verified-Src,N
EV-073,T8,DataStream 交付反馈契约,Engine/Source/Runtime/Net/Iris/Public/Iris/DataStream/DataStream.h,35,54,FDataStreamRecord/EDataStreamSendStatus,Verified-Src,N
EV-074,T8,多 ReplicationSystem 内联 8 个,Engine/Source/Runtime/Net/Iris/Public/Iris/ReplicationSystem/ReplicationSystem.h,22,24,UE_NUM_INLINE_REPLICATIONSYSTEMS,Verified-Src,N
EV-075,T8,Iris 复用 QueuedBits 预算,Engine/Source/Runtime/Engine/Private/Net/Experimental/Iris/DataStreamChannel.cpp,303,413,DataStreamChannel,Verified-Src,N
EV-076,T9,服务器 tick 率=NetServerMaxTickRate(ini 30 非 CVar),Engine/Source/Runtime/Engine/Private/GameEngine.cpp,1719,1765,UGameEngine::GetMaxTickRate,Verified-Src,Y
EV-077,T9,DS 帧率=SleepNoStats,Engine/Source/Runtime/Engine/Private/UnrealEngine.cpp,2980,3097,UEngine::UpdateTimeAndHandleMaxTickRate,Verified-Src,N
EV-078,T9,ETickingGroup 全表,Engine/Source/Runtime/Engine/Classes/Engine/EngineBaseTypes.h,83,110,ETickingGroup,Verified-Src,N
EV-079,T9,物理 substep 默认与执行循环,Engine/Source/Runtime/Engine/Private/PhysicsEngine/PhysicsSettings.cpp+PBDRigidsSolver.cpp,21,593,UPhysicsSettings/AdvanceOneTimeStepTask,Verified-Src,N
EV-080,T9,NP Fixed 策略注释(Supports group rollback),Engine/Plugins/Runtime/NetworkPrediction/Source/NetworkPrediction/Public/NetworkPredictionConfig.h,9,17,ENetworkPredictionTickingPolicy,Verified-Src,N
EV-081,T9,NP group rollback 实现,Engine/Plugins/Runtime/NetworkPrediction/Source/NetworkPrediction/Private/NetworkPredictionWorldManager.cpp,161,228,ReconcileSimulationsPostNetworkUpdate,Verified-Src,N
EV-082,T9,时间同步在 GameStateBase(10Hz 无 RTT 补偿/250 样本均值/0.5 阻尼),Engine/Source/Runtime/Engine/Private/GameStateBase.cpp,36,194,AGameStateBase 时间同步族,Verified-Src,Y
EV-083,T10,CMC 客户端链(SavedMove/合并/节流),Engine/Source/Runtime/Engine/Private/Components/CharacterMovementComponent.cpp,8907,9096,ReplicateMoveToServer,Verified-Src,N
EV-084,T10,服务器链(时间戳验证/dt 重算/MoveAutonomous),Engine/Source/Runtime/Engine/Private/Components/CharacterMovementComponent.cpp,9967,10066,ServerMove_PerformMovement,Verified-Src,N
EV-085,T10,纠错判定(率限/信任阈值),Engine/Source/Runtime/Engine/Private/Components/CharacterMovementComponent.cpp,10188,10523,ServerMoveHandleClientError/ServerCheckClientError,Verified-Src,N
EV-086,T10,纠正接收与 SavedMove 重放,Engine/Source/Runtime/Engine/Private/Components/CharacterMovementComponent.cpp,8606,8690,ClientUpdatePositionAfterServerUpdate,Verified-Src,N
EV-087,T10,ClientAdjustPosition(ack/应用),Engine/Source/Runtime/Engine/Private/Components/CharacterMovementComponent.cpp,11223,11330,ClientAdjustPosition_Implementation,Verified-Src,N
EV-088,T10,bClientIgnoreMovementCorrections 信任洞,Engine/Source/Runtime/Engine/Private/Components/CharacterMovementComponent.cpp,11248,11263,ClientAdjustPosition_Implementation,Verified-Src,N
EV-089,T10,ClientAuthorativePosition 默认 false,Engine/Source/Runtime/Engine/Classes/GameFramework/GameNetworkManager.h,188,189,ClientAuthorativePosition,Verified-Src,N
EV-090,T11,WebSocket 驱动只替换底层,Engine/Plugins/Experimental/WebSocketNetworking/Source/WebSocketNetworking/Public/WebSocketNetDriver.h,17,76,UWebSocketNetDriver,Verified-Src,N
EV-091,T11,WebSocket 连接全套继承+握手重演,Engine/Plugins/Experimental/WebSocketNetworking/Source/WebSocketNetworking/Private/WebsocketConnection.cpp,25,179,UWebSocketConnection,Verified-Src,N
EV-092,T11,伪 UDP 包尺寸 512+幻想头开销,Engine/Plugins/Experimental/WebSocketNetworking/Source/WebSocketNetworking/Private/WebsocketConnection.cpp,16,17,WINSOCK_MAX_PACKET/UDP_HEADER_SIZE,Verified-Src,N
EV-093,T11,驱动级按地址线性扫描,Engine/Plugins/Experimental/WebSocketNetworking/Source/WebSocketNetworking/Private/WebSocketNetDriver.cpp,124,166,UWebSocketNetDriver::LowLevelSend,Verified-Src,N
EV-094,T12,服务器流送默认关(wp.Runtime.EnableServerStreaming=0),Engine/Source/Runtime/Engine/Private/WorldPartition/WorldPartition.cpp,128,138,GlobalEnableServerStreaming,Verified-Src,Y
EV-095,T12,IsServerStreamingEnabled 解析缓存禁运行时切换,Engine/Source/Runtime/Engine/Private/WorldPartition/WorldPartition.cpp,1384,1458,UWorldPartition::IsServerStreamingEnabled,Verified-Src,N
EV-096,T12,复制侧三道 Level 门,Engine/Source/Runtime/Engine/Private/NetDriver.cpp,5362,5367,BuildConsiderList Level 门,Verified-Src,N
EV-097,T12,MissingLevelPackage 断连,Engine/Source/Runtime/Engine/Private/NetConnection.cpp,1964,1976,UpdateLevelVisibilityInternal,Verified-Src,N
EV-098,T13,bSkipServerReplicateActors 关闭通用复制,Engine/Source/Runtime/Engine/Private/DemoNetDriver.cpp,732,732,UDemoNetDriver::InitDefaults,Verified-Src,N
EV-099,T13,回放劫持 LowLevelSend 落盘,Engine/Source/Runtime/Engine/Private/DemoNetDriver.cpp,4872,4898,UDemoNetConnection::LowLevelSend,Verified-Src,N
EV-100,T13,检查点=SinceOpen 全量重录+跨帧摊销,Engine/Source/Runtime/Engine/Private/ReplayHelper.cpp,574,827,FReplayHelper::SaveCheckpoint/TickCheckpoint,Verified-Src,N
EV-101,T13,恢复流程(销毁/重建/灌包/快进),Engine/Source/Runtime/Engine/Private/DemoNetDriver.cpp,4013,4595,UDemoNetDriver::LoadCheckpoint,Verified-Src,N
EV-102,T13,INetworkReplayStreamer 接口面,Engine/Source/Runtime/NetworkReplayStreaming/NetworkReplayStreaming/Public/NetworkReplayStreaming.h,515,650,INetworkReplayStreamer,Verified-Src,N
EV-103,T13,UReplayNetConnection 新路径默认关,Engine/Source/Runtime/Engine/Private/ReplaySubsystem.cpp,16,159,Replay.UseReplayConnection,Verified-Src,N
EV-104,T14,ENetCloseResult 枚举与 NMT_CloseReason,Engine/Source/Runtime/Net/Core/Public/Net/Core/Connection/NetCloseResult.h,23,238,ENetCloseResult,Verified-Src,Y
EV-105,T14,超时判定与关闭(60s),Engine/Source/Runtime/Engine/Private/NetConnection.cpp,4921,4961,UNetConnection::Tick,Verified-Src,N
EV-106,T14,坏 bunch:服务器必断/客户端仅 Iris,Engine/Source/Runtime/Engine/Private/NetConnection.cpp,4187,4207,UNetConnection::DispatchPacket,Verified-Src,N
EV-107,T14,控制通道队列超限绕过 Close,Engine/Source/Runtime/Engine/Private/DataChannel.cpp,2170,2176,UControlChannel::QueueMessage,Verified-Src,N
EV-108,T14,日志限速踢人,Engine/Source/Runtime/Engine/Private/NetConnection.cpp,5885,5926,TrackLogsPerSecond,Verified-Src,N
EV-109,T14,FaultRecovery 空置钩子,Engine/Source/Runtime/Engine/Private/NetConnection.cpp,1229,1239,HandleNetResultOrClose,Verified-Src,N
EV-110,T15,断链→N+1 帧同帧销毁 PC/PS 全链,Engine/Source/Runtime/Engine/Private/NetConnection.cpp,1399,1514,UNetConnection::CleanUp/DestroyOwningActor,Verified-Src,Y
EV-111,T15,重连痕迹全零(token 族检索),—,—,—,—,Verified-Src,Y
EV-112,T15,AGameMode InactivePlayerArray 快照,Engine/Source/Runtime/Engine/Private/GameMode.cpp,601,757,AddInactivePlayer/FindInactivePlayer,Verified-Src,N
EV-113,T15,seamless travel 连接过继,Engine/Source/Runtime/Engine/Private/GameModeBase.cpp,561,570,SwapPlayerControllers,Verified-Src,N
EV-114,T15,NetDriver 搬 World,Engine/Source/Runtime/Engine/Private/World.cpp,8526,8552,FSeamlessTravelHandler::CopyWorldData,Verified-Src,N
EV-115,T15,GracefulClose 排空语义(2s 上限),Engine/Source/Runtime/Engine/Private/NetConnection.cpp,1176,1224,UNetConnection::GracefulClose,Verified-Src,N
EV-116,T16,STATGROUP_Net/Packet 族,Engine/Source/Runtime/Engine/Public/EngineStats.h,204,272,STATGROUP_Net,Verified-Src,N
EV-117,T16,唯一 trace channel NetChannel,Engine/Source/Runtime/Net/Core/Private/Net/Core/Trace/Reporters/NetTraceReporter.cpp,16,17,NetChannel,Verified-Src,N
EV-118,T16,网络日志族定义点,Engine/Source/Runtime/Engine/Private/DataChannel.cpp,51,58,LogNet 族,Verified-Src,N
EV-119,T16,饥饿按类统计钩子,Engine/Source/Runtime/Engine/Private/NetDriver.cpp,5832,5837,ActorsStarvedByClassTimeMap,Verified-Src,N
EV-120,T5,无连接时 Iris 仍推进/经典返回,Engine/Source/Runtime/Engine/Private/NetDriver.cpp,374,374,net.iris.UpdateReplicationSystemWithNoConnections,Verified-Src,N
